SKU,Product Name,Quantity,Last Scanned,In/Out
SKU0001,Laptop,100,8/11/2025 14:00,IN
SKU0002,Mouse,83,7/31/2025 18:00,OUT
SKU0003,Keyboard,7,7/23/2025 0:00,OUT
SKU0004,Monitor,77,8/7/2025 22:00,OUT
SKU0005,Printer,98,8/1/2025 1:00,OUT
SKU0006,USB Cable,24,8/3/2025 15:00,OUT
SKU0007,External HDD,46,8/10/2025 0:00,OUT
SKU0008,Webcam,12,7/19/2025 23:00,IN
SKU0009,Headset,21,7/27/2025 15:00,IN
SKU0010,Smartphone,3,7/21/2025 4:00,IN
SKU0011,Tablet,29,8/6/2025 6:00,IN
SKU0012,Router,95,7/29/2025 15:00,IN
SKU0013,Microphone,50,7/28/2025 1:00,OUT
SKU0014,Speakers,8,7/12/2025 20:00,OUT
SKU0015,Graphics Card,10,7/26/2025 20:00,OUT
SKU0016,RAM,87,7/27/2025 3:00,IN
SKU0017,Power Supply,25,7/23/2025 8:00,OUT
SKU0018,SSD,69,8/6/2025 17:00,IN
SKU0019,Charger,72,8/1/2025 21:00,IN
SKU0020,Cooling Fan,15,7/31/2025 9:00,OUT
